DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,0870: 0870,POA: Postal Areas,7: Northern Territory,2021,20341
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3073: 3073,POA: Postal Areas,2: Victoria,2021,51096
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3951: 3951,POA: Postal Areas,2: Victoria,2021,1020
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5355: 5355,POA: Postal Areas,4: South Australia,2021,8281
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6078: 6078,POA: Postal Areas,5: Western Australia,2021,941
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,9797: Migratory - Offshore - Shipping (Aust.),POA: Postal Areas,9: Other Territories,2021,864
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3040: 3040,POA: Postal Areas,2: Victoria,2021,26722
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4305: 4305,POA: Postal Areas,3: Queensland,2021,64356
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7253: 7253,POA: Postal Areas,6: Tasmania,2021,5160
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2039: 2039,POA: Postal Areas,1: New South Wales,2021,8553
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2563: 2563,POA: Postal Areas,1: New South Wales,2021,276
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2021: 2021,POA: Postal Areas,1: New South Wales,2021,14946
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3599: 3599,POA: Postal Areas,2: Victoria,2021,154
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4157: 4157,POA: Postal Areas,3: Queensland,2021,19771
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4677: 4677,POA: Postal Areas,3: Queensland,2021,4217
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5290: 5290,POA: Postal Areas,4: South Australia,2021,25591
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6632: 6632,POA: Postal Areas,5: Western Australia,2021,63
