Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
2138,3699,903,10911,46,145,3788,10483,4859,1371,452,95,6787,5944,1599,371,5184,1608,801,19686,1: New South Wales
2140,1389,539,13190,77,155,2944,13707,3745,832,311,96,6045,6568,1660,605,4799,2517,679,20766,1: New South Wales
2141,9386,3183,8370,101,119,2234,10338,8215,3687,1387,439,7080,8929,2943,727,4945,2293,1052,32425,1: New South Wales
2142,6699,1963,9191,51,431,2504,11291,6031,1954,600,230,5182,7504,2427,557,5977,1923,1226,27993,1: New South Wales
2143,4029,409,1458,30,71,370,1960,2403,1286,439,189,1320,2788,915,104,1452,300,447,9774,1: New South Wales
2144,9225,2197,10378,74,268,1709,12003,8778,3192,983,405,6207,10139,2824,844,4845,3446,1219,39333,1: New South Wales
2145,29016,10807,17068,7,162,3780,25715,23132,12684,3562,752,14681,31265,7122,1061,13999,2858,4036,87531,1: New South Wales
2146,8039,2549,2088,13,38,560,3579,6429,3101,902,211,3141,6652,1675,249,2724,612,1005,19456,1: New South Wales
2147,22395,1696,1247,52,333,1231,3384,12199,7080,1860,405,6083,10269,3329,415,6029,760,2842,37285,1: New South Wales
2148,31300,6920,5776,3,234,1821,12610,21523,10454,2272,660,10799,19544,6329,920,10667,2160,4208,67483,1: New South Wales
2150,2127,1449,23298,284,580,5585,26454,5164,885,207,97,10030,11527,2631,970,10375,4233,1476,35254,1: New South Wales
2151,6989,2079,6289,10,81,1135,7374,6655,2970,882,225,4350,6498,2110,277,5458,833,1507,21204,1: New South Wales
2152,4262,1683,2739,0,40,629,3583,4325,1701,448,80,2618,3398,1167,135,3272,338,799,11261,1: New South Wales
2153,31077,4707,5332,0,91,1503,7223,15563,15300,5041,1059,11307,21619,4229,327,7845,874,3464,62610,1: New South Wales
2154,19497,2877,4053,0,12,1289,4889,7414,10919,4334,810,7413,13794,2724,250,5284,417,1994,40874,1: New South Wales
2155,37012,3070,4905,0,43,1435,5762,6631,25050,8457,1363,9815,27885,4543,334,5621,872,3654,75699,1: New South Wales
2156,7139,1140,139,0,10,148,1025,1571,3556,1830,823,2833,3973,608,32,1547,64,732,13403,1: New South Wales
2157,2380,12,16,0,12,63,151,521,956,476,232,674,1127,245,6,305,50,244,4042,1: New South Wales
2158,4607,461,381,132,18,117,803,1281,2244,964,512,1558,2668,553,39,1164,93,541,8937,1: New South Wales
2159,2949,141,200,8,8,175,409,884,1163,543,272,999,1403,275,21,713,81,341,5148,1: New South Wales
2160,11874,3480,8704,121,85,1990,12299,8408,4945,1472,327,5179,11164,4131,619,7634,1697,1923,39388,1: New South Wales
2161,11855,3182,4392,15,210,1922,7289,7263,4211,1461,407,3764,9038,3446,415,5719,954,1713,34379,1: New South Wales
2162,8397,1589,1532,16,110,898,2709,5155,2943,779,229,2033,5374,2184,242,2985,330,972,20306,1: New South Wales
2163,3847,346,1991,95,114,824,2384,2454,1009,373,83,1053,2268,1402,126,2474,220,664,10544,1: New South Wales
2164,10557,1322,910,117,43,803,1839,6258,3786,949,209,2667,5823,2280,198,2914,224,1216,21273,1: New South Wales
2165,15720,4125,6591,26,153,2162,9251,11989,5540,1760,452,5304,12895,5779,669,6616,696,2424,45046,1: New South Wales
2166,18463,5660,7226,70,148,1878,12130,13808,6083,2302,836,6033,13597,8273,1059,7473,1577,2145,54184,1: New South Wales
2167,4457,1811,145,13,11,86,1396,3434,1917,403,62,1467,3517,938,111,1280,148,681,10536,1: New South Wales
2168,21018,2498,2286,5,367,1087,2798,12159,9066,1636,444,4125,11574,5854,473,5686,477,2698,45023,1: New South Wales
2170,42776,9591,19581,64,530,5128,27054,27095,19759,4578,966,15940,33558,13229,1344,20433,2260,6344,114479,1: New South Wales
2171,19261,1231,108,0,24,100,452,4591,12608,2922,358,3194,13017,2962,174,1754,183,1513,38882,1: New South Wales
2172,1665,69,16,0,0,24,33,359,879,418,66,518,1020,108,8,134,6,159,2892,1: New South Wales
2173,7893,728,31,0,6,32,192,4483,3530,615,118,1785,4904,1121,80,1048,109,881,14544,1: New South Wales
2174,5575,415,672,0,0,368,922,788,3916,1022,142,1293,4200,628,87,908,128,330,12080,1: New South Wales
2175,1008,5,12,3,3,14,66,232,426,166,111,277,446,114,14,163,24,75,1790,1: New South Wales
