,Postcode,State,Latitude,Longitude,Remoteness Area
375,2464,NSW,-29.484556,153.334228,2
376,2465,NSW,-29.412622,153.243897,2
377,2466,NSW,-29.407475,153.350886,3
378,2469,NSW,-29.05366265,152.5892786,2
379,2470,NSW,-28.92786,152.749759,2
380,2471,NSW,-29.018999,153.243213,3
381,2472,NSW,-29.156771,153.303855,3
382,2473,NSW,-29.2343298,153.3210837,3
383,2474,NSW,-28.499375,152.88504,2
384,2475,NSW,-28.546257,152.388341,3
385,2476,NSW,-28.36456,152.49765,3
386,2477,NSW,-28.907675,153.427314,3
387,2478,NSW,-28.865483,153.532475,3
388,2479,NSW,-28.709545,153.514963,3
389,2480,NSW,-28.706486,153.25943,2
390,2481,NSW,-28.660756,153.592843,2
391,2482,NSW,-28.547307,153.432398,3
392,2483,NSW,-28.461128,153.494236,3
393,2484,NSW,-28.38059,153.31648,3
394,2485,NSW,-28.184241,153.526816,3
395,2486,NSW,-28.215215,153.479217,3
396,2487,NSW,-28.27973,153.548588,3
397,2488,NSW,-28.34099,153.560693,3
398,2489,NSW,-28.392183,153.541853,3
399,2490,NSW,-28.271718,153.472644,3
400,2500,NSW,-34.423171,150.874294,3
401,2502,NSW,-34.494723,150.873081,3
402,2505,NSW,-34.466406,150.943899,2
403,2506,NSW,-34.48494,150.840792,2
404,2508,NSW,-34.230944,150.969679,3
405,2515,NSW,-34.300293,150.9299,2
406,2516,NSW,-34.332109,150.904835,2
407,2517,NSW,-34.349362,150.891169,3
408,2518,NSW,-34.373654,150.886721,2
409,2519,NSW,-34.35558,150.709623,3
410,2525,NSW,-34.437229,150.818904,2
411,2526,NSW,-34.380765,150.77681,2
412,2527,NSW,-34.583539,150.754592,2
413,2528,NSW,-34.548722,150.855135,2
414,2529,NSW,-34.592433,150.84584,2
415,2530,NSW,-34.505411,150.766132,2
416,2533,NSW,-34.645377,150.756883,2
417,2534,NSW,-34.74500177,150.7510656,2
418,2535,NSW,-34.762116,150.678303,2
419,2536,NSW,-35.671272,150.125945,2
420,2537,NSW,-35.939649,149.912199,2
421,2538,NSW,-35.366161,150.320507,2
422,2539,NSW,-35.522387,150.393202,2
423,2540,NSW,-34.863483,150.61644,2
424,2541,NSW,-34.990592,150.450994,2
425,2545,NSW,-36.127663,149.792292,3
426,2546,NSW,-36.25486,150.225372,3
427,2548,NSW,-36.860723,149.894825,3
428,2549,NSW,-36.953196,149.851694,3
429,2550,NSW,-36.737758,149.699222,2
430,2551,NSW,-37.267687,149.792364,2
431,2555,NSW,-33.883376,150.741351,3
432,2556,NSW,-33.945707,150.725207,3
433,2557,NSW,-33.993545,150.774858,2
434,2558,NSW,-34.031602,150.799483,2
435,2559,NSW,-34.051274,150.793614,2
436,2560,NSW,-34.194216,150.768408,2
437,2563,NSW,-34.102735,150.749847,2
438,2564,NSW,-33.998362,150.894916,2
439,2565,NSW,-33.97723383,150.8618744,2
440,2566,NSW,-34.027283,150.842258,2
441,2567,NSW,-34.055155,150.756493,2
442,2568,NSW,-34.147379,150.718007,2
443,2569,NSW,-34.196004,150.708875,2
444,2570,NSW,-34.042913,150.525292,2
445,2571,NSW,-34.30254366,150.5152938,2
446,2572,NSW,-34.193052,150.559186,2
447,2573,NSW,-34.218439,150.584634,2
448,2574,NSW,-34.4254438,150.6685734,2
449,2575,NSW,-34.347195,150.342214,2
450,2576,NSW,-34.525612,150.503502,2
451,2577,NSW,-34.595027,150.410978,2
452,2578,NSW,-34.715579,150.293226,2
453,2579,NSW,-34.711848,150.13033,2
454,2580,NSW,-34.726283,149.729215,2
455,2581,NSW,-34.764484,149.286631,2
456,2582,NSW,-34.75833012,148.9655031,2
457,2583,NSW,-34.196526,149.254163,2
458,2584,NSW,-34.711018,148.555243,2
459,2585,NSW,-34.572329,148.498501,2
460,2586,NSW,-34.378631,148.797264,2
461,2587,NSW,-34.505797,148.360971,2
462,2588,NSW,-34.599488,148.255601,2
463,2590,NSW,-34.714515,147.896911,3
464,2594,NSW,-34.231083,148.10732,2
465,2600,ACT,-35.302911,149.201072,2
466,2601,ACT,-35.275863,149.113796,2
467,2602,ACT,-35.248071,149.148147,3
468,2603,ACT,-35.330382,149.125739,2
469,2604,ACT,-35.336413,149.147614,3
470,2605,ACT,-35.335821,149.093455,2
471,2606,ACT,-35.351693,149.092601,3
472,2607,ACT,-35.369991,149.094831,2
473,2609,ACT,-35.304469,149.1940419,2
474,2611,ACT,-35.57315758,148.7089956,3
475,2612,ACT,-35.270615,149.133208,2
476,2614,ACT,-35.257315,149.049796,2
477,2615,ACT,-35.215386,149.029308,2
478,2617,ACT,-35.231279,149.086682,2
479,2618,ACT,-35.135588,149.043278,2
480,2619,ACT,-35.378159,149.194535,2
481,2620,ACT,-35.34172619,149.2104515,2
482,2621,ACT,-35.4698,149.484038,2
483,2622,ACT,-35.628428,149.752107,2
484,2623,ACT,-35.552827,149.445083,2
485,2624,ACT,-36.180818,148.441281,2
486,2625,ACT,-36.50661,148.301005,2
487,2626,ACT,-35.941228,149.168553,2
488,2627,ACT,-36.409113,148.232341,2
489,2628,ACT,-36.39806355,148.7203767,2
490,2629,ACT,-35.997349,148.769744,2
491,2630,ACT,-36.177296,149.129166,2
492,2631,ACT,-36.529386,149.306729,2
493,2632,ACT,-37.020122,149.220453,2
494,2633,ACT,-36.865206,148.701564,2
495,2640,ACT,-36.016196,147.026549,2
496,2641,ACT,-36.038655,146.930436,2
497,2642,ACT,-35.39437569,146.4617054,2
498,2643,ACT,-35.936556,146.617535,2
499,2644,ACT,-35.773247,147.391271,2
500,2645,ACT,-35.333843,146.332431,2
501,2646,ACT,-35.757569,146.324523,2
502,2647,ACT,-35.905463,145.976131,2
503,2648,ACT,-33.29624634,141.8018461,2
504,2649,ACT,-35.608279,148.091211,2
505,2650,ACT,-35.07459,147.376202,2
506,2651,ACT,-35.162259,147.463477,2
507,2652,ACT,-35.405064,147.64961,2
508,2653,ACT,-35.776209,148.041339,2
509,2655,ACT,-35.225102,147.047366,2
510,2656,ACT,-35.356021,146.767674,2
511,2658,ACT,-35.535739,146.977849,2
512,2659,ACT,-35.610147,146.767477,2
513,2660,ACT,-35.699906,147.07831,2
514,2661,ACT,-35.157697,147.277559,2
515,2663,ACT,-34.933478,147.716767,2
516,2665,ACT,-34.313241,146.841533,2
517,2666,ACT,-34.487779,147.583811,3
518,2668,ACT,-34.121499,147.405434,3
519,2669,ACT,-33.814887,146.667476,2
520,2671,ACT,-33.839275,147.308172,2
521,2672,ACT,-33.24358,146.40002,2
522,2675,ACT,-33.459192,145.479249,2
523,2678,ACT,-35.059334,147.351953,2
524,2680,ACT,-34.321422,145.914625,2
525,2681,ACT,-34.116715,146.14674,2
526,2700,ACT,-34.902108,146.303599,2
527,2701,ACT,-34.70683231,147.2465178,2
528,2702,ACT,-34.86668,147.014242,2
529,2703,ACT,-34.607943,146.370827,3
530,2705,ACT,-34.489867,146.373471,2
531,2706,ACT,-34.569464,145.937532,3
532,2707,ACT,-34.768863,145.807866,3
