,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
3286,493,7,0,0,0,6,64,225,118,20,10,162,104,26,0,130,18
3287,390,0,0,5,0,4,27,141,108,20,0,114,116,14,0,50,6
3289,731,3,0,6,0,17,91,308,147,42,20,204,156,34,8,209,17
3292,144,0,0,0,0,6,32,86,26,0,0,74,10,0,0,56,0
3293,308,0,0,0,0,10,40,128,84,16,8,89,66,20,0,102,0
3294,862,10,0,11,0,37,130,359,196,42,6,248,202,52,12,254,16
3300,9112,363,111,36,10,410,1566,4659,1941,320,53,2543,2016,891,83,3401,204
3301,1182,0,0,0,0,20,68,388,355,74,14,340,328,42,0,203,8
3302,331,0,0,0,0,12,38,118,100,20,6,104,78,24,0,66,0
3303,259,0,0,0,0,0,24,122,50,14,0,84,64,8,0,58,0
3304,2393,30,6,8,5,68,346,1242,466,70,19,704,475,226,29,775,55
3305,11344,592,78,88,35,410,1955,5688,2479,362,75,3532,2525,1200,88,3616,292
3309,116,0,0,0,0,0,8,44,30,0,0,24,22,12,0,30,6
3310,231,6,0,0,0,22,64,122,35,8,0,88,37,17,0,109,10
3311,1459,0,49,8,10,58,319,874,248,21,0,506,229,120,22,663,39
3312,931,0,0,0,10,14,86,376,228,40,28,304,194,50,6,200,30
3314,533,0,0,0,0,14,54,176,142,44,6,170,114,28,0,114,0
3315,1464,35,0,9,6,60,206,763,319,62,6,452,286,130,0,543,36
3317,174,0,0,0,0,12,30,68,32,10,0,42,34,14,0,64,0
3318,1061,16,24,3,9,51,167,570,218,42,8,327,191,73,20,454,38
3319,329,6,0,0,6,30,48,160,54,6,6,116,70,18,0,113,14
3321,1695,0,0,0,10,0,71,492,484,74,18,366,566,72,0,141,6
3322,174,0,0,0,0,6,34,90,28,10,0,52,34,22,0,74,0
3323,86,0,0,0,0,0,8,36,24,0,0,40,14,6,0,20,0
3324,517,9,0,3,0,37,88,261,86,14,10,153,100,36,6,212,6
3325,406,5,0,0,0,10,74,174,102,18,0,132,78,16,8,142,14
3328,2181,4,0,0,0,18,76,520,690,102,18,409,721,98,12,166,20
3329,290,5,0,0,0,8,24,108,58,12,0,64,86,20,0,36,0
3330,192,0,0,0,0,0,32,64,52,8,0,47,38,22,0,48,8
3331,6624,160,0,7,10,34,299,1600,2380,272,48,1330,2152,476,14,637,53
3332,1084,0,0,0,6,14,43,320,278,50,12,227,320,72,0,122,12
3333,797,3,0,7,0,22,84,300,159,34,6,190,213,66,0,139,12
3334,484,0,0,0,0,12,76,180,116,16,0,114,100,44,6,146,6
3335,5621,92,23,120,34,173,116,1319,2227,195,42,1059,1724,435,52,941,119
3336,16815,411,0,0,0,14,83,2357,6798,899,74,1799,6232,1083,85,1017,132
3337,35729,2126,158,20,22,226,1801,13757,10316,1306,281,5988,9750,4885,352,6557,739
3338,33078,1630,20,22,18,396,1842,8460,11411,1173,180,4804,9924,3508,293,4794,624
3340,22729,1262,96,78,29,502,2000,7978,7223,917,218,5102,6498,2340,189,4652,359
3341,1518,3,0,0,12,6,74,504,396,80,18,322,476,89,12,204,16
3342,3567,97,6,29,6,60,382,1486,941,114,39,906,910,330,37,815,72
3345,1288,0,0,0,0,22,82,430,370,48,18,328,346,88,0,186,8
3350,54414,5306,1256,99,69,2259,11221,24786,15276,1769,261,14202,14029,6518,511,18521,2528
3351,8513,11,7,26,22,130,598,2668,2222,432,107,1997,2323,585,62,1252,112
3352,17276,53,41,122,30,246,963,5260,5181,776,165,4049,4842,1152,101,2424,286
3355,10369,1216,278,5,18,927,1992,6841,1753,226,34,2878,2032,1793,176,4811,401
3356,11978,2362,13,0,11,611,3062,7497,2506,217,32,3319,2700,2348,155,5195,526
3357,3473,37,30,0,0,45,309,1254,968,170,24,892,945,257,10,626,39
3358,3303,10,3,0,0,0,24,601,1651,60,8,650,933,275,28,382,104
3360,758,0,3,5,0,18,148,323,174,22,0,222,144,72,8,234,0
3361,587,0,3,0,0,23,110,271,112,25,16,138,105,64,0,232,12
3363,3005,25,102,43,3,153,460,1536,617,97,18,882,667,289,15,1022,63
3364,2055,6,0,4,0,46,224,865,484,78,18,619,478,115,16,465,34
3370,1704,18,5,33,16,81,330,806,320,46,20,527,309,187,18,571,50
3371,902,9,4,13,10,56,223,415,142,34,6,290,154,98,6,358,24
3373,2171,15,3,6,6,73,362,1051,468,44,14,663,413,200,20,710,60
3374,387,0,0,0,0,12,72,154,100,6,6,124,78,20,0,124,0
3375,238,0,0,0,0,6,16,94,58,8,14,72,44,20,0,48,0
3377,7553,421,38,54,28,244,1471,3820,1588,241,35,2261,1538,871,97,2638,216
3378,118,0,0,0,0,0,6,26,50,10,0,14,42,10,0,32,0
3379,667,8,0,8,0,11,61,313,160,52,14,206,131,48,0,204,12
3380,5253,138,189,33,13,283,1011,2728,1058,154,40,1602,1029,505,70,2026,173
3381,1101,3,4,19,5,48,162,457,254,40,8,358,233,66,0,299,22
3384,522,0,0,5,0,28,62,192,102,30,10,150,120,32,0,122,6
3385,507,0,0,0,0,16,69,208,102,18,8,178,106,22,8,122,8
3387,266,0,0,0,0,0,10,104,100,6,8,84,62,14,0,76,6
3388,497,0,0,3,0,3,75,238,96,0,16,172,100,34,8,131,0
3390,880,10,8,12,5,23,164,400,155,28,12,225,192,79,6,307,18
3391,159,0,0,0,0,0,22,61,32,0,0,40,36,26,0,30,0
3392,504,0,0,4,0,8,129,262,65,20,8,173,86,48,0,177,6
3393,2232,47,8,21,3,99,384,1199,416,70,13,663,408,219,20,921,51
3395,302,12,0,6,0,11,44,139,74,16,0,84,68,19,0,112,0
3396,616,0,6,7,0,22,100,338,120,16,0,232,97,48,8,232,14
3400,13038,466,490,12,6,554,2587,6748,2929,266,59,3451,2951,1474,132,4941,440
3401,4234,13,0,14,12,48,233,1248,1284,232,48,1141,1205,200,20,586,34
3407,359,16,3,11,0,10,64,146,107,14,7,105,84,18,0,118,0
3409,860,0,3,6,6,40,93,413,178,34,8,279,188,62,0,257,16
3412,283,0,0,0,0,8,64,124,54,10,0,66,58,30,0,102,0
3413,170,0,0,0,0,3,16,75,54,6,0,53,40,12,0,39,8
3414,1538,6,26,11,0,96,325,766,277,31,8,493,280,140,6,583,36
3415,39,0,0,0,0,0,0,8,0,8,0,16,14,0,0,0,0
3418,2504,90,11,8,6,114,378,1222,463,62,18,699,588,162,38,746,81
3419,801,16,3,0,0,12,166,423,131,25,0,244,167,62,6,284,18
3420,249,0,0,0,0,0,28,84,54,8,8,72,56,10,0,36,8
3423,424,0,0,4,0,21,76,204,80,8,12,168,58,36,0,130,6
3424,671,12,0,9,0,30,97,346,150,18,0,239,132,32,0,229,18
3427,5066,318,0,4,12,12,167,2043,1795,144,26,1197,1504,471,52,924,103
3428,612,6,0,0,0,9,26,146,190,64,6,107,190,42,18,70,8
3429,34703,966,1650,3,41,369,3338,13164,10877,1623,243,7590,10412,3854,293,7112,702
3430,267,0,0,0,0,14,10,82,64,12,14,54,68,30,0,50,6
3431,4004,152,15,0,10,32,240,1220,1306,241,40,945,1244,315,23,532,39
3432,178,0,0,0,0,0,8,46,70,8,0,42,50,12,0,18,10
3433,189,0,0,0,0,12,6,50,48,16,6,50,62,22,0,16,0
3434,5715,71,30,0,0,92,277,1699,1880,264,50,1346,1671,415,22,784,65
3435,2987,10,0,0,10,51,210,1046,790,132,42,717,809,253,20,484,30
3437,10429,622,62,0,8,168,620,2851,3751,683,118,2370,3419,772,42,1582,93
3438,2252,41,0,0,0,29,152,536,729,146,16,426,730,153,10,276,12
3440,1918,9,0,26,0,43,90,545,542,128,22,440,563,114,12,264,22
3441,1319,11,0,0,0,26,96,442,294,140,42,412,384,52,0,171,22
3442,7573,366,15,13,17,90,808,2898,2042,382,94,1989,2207,689,33,1388,116
3444,8625,391,5,180,7,277,1371,3540,2060,426,107,2574,2197,702,64,2208,210
3446,1019,0,0,0,6,16,154,443,184,28,6,281,262,50,6,239,24
3447,482,0,0,0,0,8,68,222,88,16,0,143,98,48,12,110,20
3448,911,0,0,3,0,29,122,384,192,46,14,302,206,56,0,204,12
3450,6074,290,5,39,22,387,1925,3084,965,101,32,1813,1121,751,40,2701,211
3451,5410,34,0,5,32,208,825,2018,1372,155,40,1519,1214,495,30,1277,139
3453,1697,0,0,3,0,16,176,634,418,84,28,520,382,123,14,314,22
3458,1985,30,0,21,10,79,426,934,341,54,16,738,378,136,10,580,46
3460,2255,183,6,9,12,196,791,1193,335,59,20,817,361,281,16,1107,82
3461,4086,18,5,29,19,217,874,1786,666,121,41,1377,831,255,28,1145,136
3462,1131,9,5,5,0,41,218,538,224,34,3,336,230,94,0,390,14
3463,2332,17,4,12,24,118,521,1130,392,74,14,799,428,151,24,831,84
3464,1077,24,0,20,15,33,113,462,212,40,14,271,288,78,0,279,10
3465,8601,480,79,91,33,413,1986,4646,1569,214,51,2674,1540,1087,98,3583,245
3467,1164,28,0,8,0,43,251,563,180,32,11,347,221,108,18,419,14
3468,259,0,0,0,0,14,54,98,50,6,6,98,42,16,0,80,6
3469,206,0,0,0,0,9,40,90,62,9,6,72,39,14,0,102,0
3472,1261,29,0,40,17,142,291,602,217,28,6,378,200,150,8,560,53
3475,327,0,0,0,0,16,80,160,40,20,0,122,50,26,0,114,0
3477,703,17,0,7,0,23,99,280,183,24,8,243,170,44,0,176,16
3478,2267,65,4,19,9,127,469,1218,405,54,10,698,394,228,24,995,46
3480,1539,18,29,18,6,74,226,780,318,28,6,463,336,104,15,533,32
3482,154,6,0,0,0,0,14,77,38,0,10,43,28,6,6,45,0
3483,783,5,15,10,0,32,113,352,189,22,0,209,196,40,10,261,15
3485,243,0,0,4,0,6,38,113,64,18,0,98,39,16,0,98,6
3487,66,0,0,0,0,0,10,22,14,0,0,14,20,0,0,6,0
3488,80,0,0,0,0,0,16,40,18,6,0,32,14,0,0,20,0
3489,59,0,0,0,0,0,6,14,22,8,0,10,16,0,0,10,0
3490,1063,14,0,10,0,65,150,583,242,24,3,361,197,72,14,400,24
3491,132,0,0,0,6,0,18,34,36,8,0,34,26,14,0,40,8
3494,485,0,5,86,15,64,46,218,111,26,12,130,133,28,7,189,46
3496,5515,194,13,64,29,234,735,2399,1060,206,36,1348,1374,548,51,1377,118
3498,5168,17,165,23,8,71,485,1996,1302,210,44,1326,1394,389,48,992,84
3500,27509,2381,1448,255,74,1218,6315,14423,5659,605,104,7480,6450,3956,339,9780,1138
3501,1988,5,3,30,7,66,106,503,592,98,18,408,636,86,0,278,18
3505,4276,85,33,41,13,145,533,1722,919,150,28,1100,1072,434,22,950,67
3506,18,0,0,0,0,0,0,8,7,0,0,6,7,0,0,7,0
3507,122,6,14,0,7,3,34,52,29,10,0,39,24,12,0,42,0
3509,200,0,0,0,0,0,24,80,76,0,0,70,38,22,0,62,0
3512,316,9,0,0,0,15,60,150,80,0,0,92,76,19,0,100,0
3515,2374,4,0,21,0,23,88,608,823,66,26,543,733,108,18,249,14
3516,639,0,0,16,0,11,88,265,148,28,0,198,160,22,6,131,18
3517,1269,15,0,26,14,52,241,581,242,24,0,392,259,92,6,418,30
3518,1020,75,3,30,18,95,219,549,191,17,7,359,194,91,14,439,32
3520,128,0,0,6,0,12,31,72,18,3,0,25,22,18,6,73,0
3521,702,0,0,0,0,14,50,228,176,26,20,152,190,62,0,101,0
3522,296,0,0,0,0,8,46,118,60,6,0,96,60,28,0,66,16
3523,3324,43,9,57,41,171,713,1648,614,76,26,1200,538,270,51,1227,110
3525,1112,68,6,12,0,27,175,626,268,27,0,415,215,76,26,413,30
3527,626,40,0,3,0,25,85,402,119,14,0,231,128,62,10,249,18
3529,121,0,0,0,0,0,22,34,30,6,0,22,38,14,0,30,0
3530,103,0,0,0,0,0,14,52,30,6,0,38,28,0,0,52,0
3531,188,0,0,0,0,6,19,78,42,8,0,50,50,16,0,42,10
3533,660,5,0,7,0,46,107,311,130,18,0,196,124,58,8,230,22
3537,854,7,0,0,0,12,109,420,170,20,0,255,175,64,12,276,10
3540,221,5,0,0,0,14,41,104,64,10,0,76,28,26,0,97,6
3542,119,0,0,0,0,0,10,62,28,0,0,52,22,10,0,28,0
3544,217,0,0,0,0,0,26,102,58,8,0,52,46,6,0,74,6
3546,318,8,0,0,0,16,25,160,78,6,0,106,56,24,0,79,16
3549,3189,56,84,117,9,122,322,997,677,88,50,637,714,204,55,563,219
3550,33934,3758,360,57,64,1423,8959,17934,7057,986,172,9073,7478,4756,464,13532,1731
3551,33457,184,8,79,49,261,1211,8570,11657,1558,272,7283,9892,2309,144,3768,448
3555,17961,954,299,17,22,627,3327,9809,3480,334,51,4640,3855,2401,219,6249,625
3556,12814,331,28,20,31,353,1951,5571,2889,292,54,2806,2670,1717,188,3700,328
3557,772,0,0,7,0,6,64,289,207,24,20,176,235,52,10,128,18
3558,837,5,0,11,0,20,155,425,144,10,12,255,146,86,14,296,11
3559,491,0,0,6,0,8,52,194,134,28,10,159,108,30,14,120,6
3561,3930,107,0,40,22,149,524,1728,880,162,24,1196,829,343,37,1089,94
3562,221,0,0,6,0,6,6,91,62,10,0,68,61,8,0,29,8
3563,737,12,3,0,0,11,90,332,158,18,6,200,162,88,0,179,14
3564,14336,1128,26,131,32,530,2502,6163,3833,504,113,4294,3372,1591,125,4344,364
3565,130,0,0,0,0,10,16,44,22,0,0,28,34,0,0,28,0
3566,515,4,0,3,0,28,69,232,90,16,0,147,122,36,0,148,6
3567,614,6,0,0,5,31,60,256,160,28,0,212,132,36,0,149,8
3568,2564,70,0,4,0,72,335,1334,606,58,16,847,556,164,14,835,58
3570,685,4,0,17,0,9,73,285,136,22,12,214,172,49,3,85,12
3571,261,11,0,6,0,0,24,103,61,14,0,79,68,26,0,51,6
3572,126,0,0,0,0,10,0,48,26,12,0,32,32,6,0,26,0
3573,295,0,0,4,0,16,30,122,56,10,0,74,64,26,6,80,6
3575,765,8,0,0,0,49,98,336,152,28,6,191,158,60,0,221,14
3576,61,0,0,0,0,0,6,28,24,0,0,22,12,0,0,8,0
3579,4644,174,4,62,7,124,800,2158,1125,183,36,1362,940,433,58,1669,110
3580,980,9,4,14,0,49,99,526,188,24,0,363,170,80,12,283,7
3581,133,0,0,0,0,6,0,32,28,8,8,43,28,0,0,24,18
3583,139,0,3,0,0,0,15,40,30,12,0,28,43,8,0,18,10
3584,986,0,5,0,3,28,84,424,210,28,10,264,238,72,20,185,20
3585,9325,590,546,46,13,608,1859,4492,2140,240,70,2667,2329,1058,99,3160,328
3586,708,0,0,11,6,19,19,252,189,42,0,182,205,38,0,115,14
3588,384,0,0,0,0,8,16,164,84,16,0,94,92,36,8,72,6
3589,303,0,0,0,0,16,8,102,70,22,0,90,64,22,6,44,8
3590,300,0,0,0,0,0,22,122,64,6,0,82,86,14,0,44,0
3591,147,0,0,0,0,10,16,66,32,0,0,52,36,0,6,16,0
3594,418,0,4,65,26,41,52,234,72,6,7,180,86,42,0,166,26
3595,516,0,10,17,0,35,74,247,96,0,0,126,96,59,0,170,22
3596,70,0,0,10,8,9,0,30,12,9,0,33,12,6,0,27,0
3597,384,4,0,0,0,18,66,176,58,16,8,78,96,18,0,99,49
3599,113,0,0,12,0,10,12,42,16,12,0,30,26,8,0,33,0
3607,136,0,0,0,0,0,8,58,30,0,0,36,30,6,0,29,0
3608,2358,109,0,72,3,132,483,1097,567,73,18,838,486,198,14,900,68
3610,1198,85,0,34,12,97,176,618,249,36,10,385,291,106,0,433,34
3612,1506,22,0,47,16,97,311,729,242,58,8,507,255,125,20,602,49
3614,866,5,0,0,0,10,46,292,234,28,0,198,260,44,0,102,14
3616,4872,167,10,53,8,134,709,2076,1201,114,19,1344,1203,421,59,1288,113
3617,143,0,0,0,0,6,0,56,32,14,0,44,38,0,0,18,0
3618,577,9,0,21,0,35,61,296,92,16,3,155,121,68,0,156,35
3620,7240,424,23,33,23,219,1278,3316,1666,228,28,1993,1726,776,50,2243,127
3621,2106,79,0,52,18,80,252,941,406,88,16,540,526,193,6,592,31
3622,489,0,0,0,0,0,30,150,124,18,10,110,144,30,0,58,6
3623,809,14,15,11,26,22,131,422,144,18,0,257,132,106,14,251,16
3624,521,0,0,0,5,0,44,268,94,18,0,128,103,44,0,132,20
3629,7499,628,16,274,30,527,1605,3698,1486,182,43,2020,1639,1114,88,2875,228
3630,25998,2781,66,184,43,1088,5756,12446,5050,540,100,6277,6164,3368,303,8583,1022
3631,13561,70,0,166,17,83,589,3103,4771,674,104,2840,4080,798,58,1622,197
3633,562,0,0,15,0,12,14,172,172,30,0,120,180,18,0,112,0
3634,1742,0,0,0,0,8,80,650,440,70,0,408,466,148,0,233,12
3635,492,0,0,7,0,3,38,214,136,10,0,146,112,28,0,121,6
3636,4511,248,19,28,18,118,792,2242,1002,152,30,1350,942,516,38,1524,103
3637,551,13,0,11,0,0,10,197,146,31,10,132,163,31,0,67,6
3638,1947,51,0,43,28,78,267,890,442,50,15,492,415,194,14,672,52
3639,428,0,0,10,0,28,87,208,66,6,8,133,86,26,10,146,16
3640,918,8,0,0,0,6,40,292,233,34,12,209,235,74,0,104,30
3641,1138,13,0,0,0,28,129,444,216,60,8,270,268,92,8,260,30
3644,8009,349,24,95,42,333,1234,3692,1882,235,42,2471,1687,764,50,2549,255
3646,538,0,0,0,0,14,48,256,118,18,10,160,120,56,6,100,8
3647,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
3649,419,5,0,11,0,3,31,184,110,8,10,112,100,30,3,96,8
3658,5664,98,13,14,22,134,517,2223,1486,226,28,1293,1388,604,49,1304,89
3659,711,7,0,0,0,25,60,264,154,42,13,214,154,76,12,128,14
3660,6694,319,0,25,12,339,1126,3310,1348,204,58,1762,1313,929,71,2221,230
3662,719,7,0,0,0,6,0,274,158,24,0,130,290,10,0,29,0
3663,147,0,0,0,0,0,8,60,54,14,0,46,30,26,0,12,0
3664,1093,0,0,0,0,32,110,472,251,50,12,322,240,94,0,271,18
3665,360,0,0,0,0,16,56,144,70,12,6,126,68,24,0,82,6
3666,4423,117,16,8,29,248,831,2155,852,136,42,1470,815,439,36,1509,102
3669,1219,24,0,19,11,79,245,620,226,30,10,414,216,107,22,443,36
3670,557,3,0,0,8,12,44,238,160,32,0,189,110,42,14,122,6
3672,8808,814,8,51,19,361,2199,4541,2120,205,53,3004,1642,1054,81,3747,308
3673,1638,3,0,10,0,45,185,635,402,76,24,601,352,92,7,337,20
3675,1781,3,0,6,0,32,132,675,469,74,14,525,458,110,12,304,14
3677,15995,1573,3,50,50,741,3315,7931,3792,378,72,4359,3565,2057,137,6409,436
3678,6040,13,0,28,26,101,416,1865,1898,343,77,1818,1554,296,34,1011,85
3682,595,0,0,0,3,6,46,204,142,34,10,154,162,32,6,98,12
3683,1549,30,13,34,5,38,203,762,338,67,12,498,357,116,15,480,38
3685,2554,83,3,46,6,51,393,1123,688,78,22,779,582,248,30,751,52
3687,927,63,7,5,3,19,164,407,272,26,0,311,222,83,5,256,14
3688,1174,31,6,4,0,12,61,473,335,48,16,331,349,51,0,194,21
3690,30062,2139,400,71,38,874,5423,13321,8003,889,108,7458,7102,4121,325,9651,833
3691,11220,34,4,46,26,74,546,2829,4075,496,86,2718,3358,632,28,1381,151
3695,474,0,0,0,0,10,46,120,126,36,0,142,122,24,0,54,0
3697,510,0,0,0,0,8,56,226,128,14,8,178,112,28,0,132,8
3698,870,14,8,17,3,27,136,430,200,18,8,314,190,45,10,255,15
3699,804,11,56,0,0,48,192,542,98,8,0,253,147,87,8,370,40
3700,1181,33,11,3,0,39,167,582,234,28,6,386,254,96,6,366,20
3701,918,0,0,16,0,31,119,363,242,22,10,374,190,29,0,223,18
3704,21,0,0,0,0,0,0,18,6,0,0,8,0,0,0,10,0
3705,185,0,0,0,0,16,22,84,58,0,0,77,34,6,0,52,12
3707,1577,12,4,4,8,42,183,841,330,44,12,521,315,106,7,527,18
3708,61,0,0,0,0,3,6,32,8,0,0,38,12,0,0,10,0
3709,239,0,0,5,3,15,50,96,65,8,0,104,36,16,0,92,12
3711,507,3,0,0,6,22,54,246,122,10,0,188,94,31,0,131,14
3712,294,0,0,23,10,19,71,173,37,0,0,106,58,14,0,153,11
3713,812,12,0,45,5,34,203,469,182,16,8,307,115,73,6,429,47
3714,3258,104,8,84,28,150,665,1567,724,86,18,1077,677,289,20,1209,71
3715,325,0,0,0,0,12,48,144,64,14,8,134,70,17,0,70,6
3717,3075,7,5,23,12,121,494,1385,670,93,22,988,575,270,16,935,74
3718,71,0,0,6,0,4,20,42,16,6,0,32,10,10,0,27,0
3719,376,0,0,6,0,15,50,154,89,26,0,158,68,28,0,86,0
3720,581,6,4,12,0,6,67,267,134,41,18,245,108,36,0,156,8
3722,4990,186,19,31,7,104,791,2060,1349,206,58,1546,1126,432,27,1451,99
3723,2603,14,72,6,12,124,480,1089,519,110,62,949,522,146,8,767,59
3725,574,0,0,3,0,14,47,212,142,20,14,188,140,22,0,104,10
3726,373,0,0,0,0,8,52,154,80,12,0,124,90,16,0,90,0
3727,274,0,0,0,0,0,38,112,52,10,0,88,48,30,0,40,16
3728,645,9,0,0,0,45,90,258,132,16,0,187,126,76,0,161,10
3730,7868,713,18,103,16,230,1409,3909,2080,286,60,2972,1744,756,40,2531,183
3732,536,0,3,10,0,21,66,236,126,14,10,175,109,36,6,123,10
3733,206,0,0,3,0,0,42,86,48,12,0,69,32,12,3,65,8
3735,600,0,0,0,0,6,69,279,124,10,6,206,138,36,8,118,0
3737,3906,152,4,18,17,103,647,1882,890,96,17,1268,860,331,32,1167,75
3738,177,0,0,0,0,8,18,86,32,0,8,64,40,6,0,44,0
3739,195,0,0,0,0,0,16,93,46,0,10,66,28,16,6,48,0
3740,1035,26,3,13,0,5,123,414,264,34,8,320,272,65,0,195,21
3741,2583,203,118,8,24,152,611,1243,568,128,23,988,592,226,16,895,106
3744,454,0,0,0,0,24,44,182,90,16,0,122,128,26,0,78,8
3746,360,3,0,3,0,6,73,140,68,6,6,108,92,8,8,90,6
3747,4320,97,15,30,4,148,786,1851,1045,126,47,1398,963,372,22,1217,93
3749,1820,35,8,12,13,78,229,660,498,70,6,586,469,119,6,396,10
3750,21730,1779,200,9,6,82,1408,4432,8334,803,54,2951,8274,1566,200,2016,363
3751,128,0,0,0,0,0,0,46,32,16,0,38,26,6,6,18,10
3752,21294,2719,45,0,23,85,1805,6868,7301,885,110,3480,8159,2164,177,2964,362
3753,4390,26,0,0,0,6,46,552,1899,222,30,664,1497,262,14,308,42
3754,46180,2618,225,10,6,100,1709,11189,18709,1573,162,6997,16170,4683,289,5146,552
3755,225,0,0,0,0,0,6,80,42,14,10,62,68,14,0,20,0
3756,14368,722,10,0,19,51,569,4051,5135,608,106,2615,4480,1478,88,1815,207
3757,8301,474,61,3,20,86,733,2762,2492,431,125,1730,2494,874,44,1475,121
3758,2083,0,0,3,0,11,96,510,587,138,32,436,638,96,20,209,30
3759,988,0,0,9,0,16,73,231,258,108,24,228,280,86,6,91,14
3760,334,0,0,0,0,8,16,82,86,42,10,64,106,18,0,32,0
3761,1106,0,0,0,0,36,84,290,262,78,22,250,306,100,0,114,20
3762,104,0,0,0,0,0,8,34,38,8,10,20,36,12,0,14,0
3763,1538,9,0,0,18,26,174,516,378,84,14,386,392,112,0,287,32
3764,9043,627,35,33,18,150,1291,3050,2915,405,109,2285,2476,931,75,2144,147
3765,6188,144,135,0,8,221,411,2050,1585,394,96,1295,2001,413,28,1015,62
3766,1188,0,0,0,0,18,84,446,282,66,22,268,360,68,0,204,22
3767,1174,10,0,0,0,27,125,400,280,82,14,301,312,86,0,212,28
3770,3066,10,3,0,0,35,136,1045,709,198,70,706,883,224,12,343,27
3775,3667,134,0,8,0,62,330,1294,971,196,55,947,1088,257,25,572,43
3777,9503,464,17,63,57,326,1381,4181,1936,412,96,2580,2391,1004,59,2331,173
3778,178,0,0,0,0,12,30,72,30,0,6,58,40,10,0,48,0
3779,439,0,3,0,0,28,97,210,94,6,8,213,61,22,0,130,6
3781,4201,8,0,10,0,50,258,1506,864,212,38,767,1266,351,18,538,66
3782,7499,26,23,0,0,131,492,2350,1867,514,124,1711,2215,470,18,978,94
3783,2247,0,20,0,6,34,166,668,567,118,38,467,672,152,10,317,28
3785,62,0,0,0,0,0,8,18,22,0,0,18,8,6,0,0,0
3786,1437,0,0,0,0,19,98,466,340,96,26,335,442,64,10,206,10
3787,915,7,0,3,0,6,105,292,218,48,20,237,253,86,8,118,18
3788,1603,7,0,4,8,39,175,522,401,88,28,394,424,130,8,303,20
3789,280,0,0,0,0,6,20,100,64,18,0,82,68,10,0,38,6
3791,1347,9,0,0,0,31,138,491,352,68,10,378,360,95,8,252,18
3792,1001,0,0,0,0,16,70,324,242,68,17,262,288,64,6,106,10
3793,3382,65,0,20,8,68,364,1198,743,180,36,713,967,316,30,561,60
3795,1249,10,0,8,0,20,92,323,258,62,50,257,361,46,14,128,20
3796,9368,110,9,9,8,102,712,3093,2130,527,144,1826,2869,664,60,1259,124
3797,3022,199,62,60,28,154,545,1233,683,147,46,743,827,320,22,916,56
3799,5156,16,23,30,24,238,933,2384,782,152,38,1194,1053,649,48,1556,144
3802,20476,2838,11,4,6,55,752,8524,5949,1296,230,4309,7311,2101,180,2695,416
3803,8534,1839,98,0,7,76,1252,3917,2063,383,30,1790,3051,1014,97,1623,252
3804,7957,38,13,0,5,27,100,789,2468,977,314,1359,2584,314,36,379,52
3805,52602,3065,467,116,37,245,2033,15830,15593,2539,373,7925,17546,4933,421,5650,748
3806,45614,3320,103,33,55,408,3018,13712,15253,2531,323,8497,15797,3875,242,6687,609
3807,6697,568,0,88,0,120,425,1632,2435,538,92,1291,2436,493,49,1008,74
3808,2868,3,0,0,0,10,64,588,873,217,52,546,976,100,10,204,14
3809,18138,892,7,0,4,54,998,4498,7096,702,94,3341,5906,1634,133,2292,284
3810,48429,4271,185,58,62,321,5591,17579,14305,1492,313,9372,14355,5728,468,9290,1109
3812,2233,3,10,5,0,29,128,610,570,150,52,467,650,143,21,260,24
3813,882,0,0,0,0,18,52,263,186,50,24,180,230,72,0,124,10
3814,2369,3,48,0,6,8,230,707,612,138,34,583,668,123,6,363,40
3815,3380,29,8,0,0,41,242,953,898,174,60,763,950,202,14,467,34
3816,2723,94,47,34,0,53,239,1127,762,90,18,617,743,296,30,641,54
3818,15293,445,335,90,30,322,2024,5438,4755,578,101,4114,3887,1505,102,3586,264
3820,17221,550,474,284,15,272,2694,6089,5774,690,116,4757,4417,1743,137,4599,362
3821,2848,0,0,3,10,42,178,946,692,158,53,712,788,150,14,393,24
3822,848,79,0,0,0,11,61,298,234,60,0,226,263,57,11,115,18
3823,1977,21,5,3,0,39,214,836,530,46,8,636,418,134,18,459,26
3824,4866,145,12,0,14,111,573,2034,1289,138,12,1243,1168,511,42,1177,98
3825,17609,1196,312,82,87,1327,3917,8895,3355,459,99,4538,3755,2340,187,7372,496
3831,1740,17,17,3,0,35,220,572,474,84,16,539,424,105,0,351,15
3832,237,0,0,0,0,0,44,116,42,0,8,72,50,30,0,61,0
3833,262,0,0,0,0,12,94,106,32,8,0,100,50,14,0,100,10
3835,447,0,0,0,0,0,30,204,112,14,3,130,110,32,0,87,0
3840,14167,503,628,39,46,654,3176,6922,2719,415,62,3719,2901,1990,161,5246,411
3842,4354,53,67,9,6,55,178,2723,739,111,28,1097,868,639,43,1133,119
