,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2209,10327,2413,2426,100,70,1120,3363,4793,2479,809,215,2791,4756,1706,212,3272,346
2210,20480,4476,6235,171,410,2559,7232,9315,5918,1940,367,6358,9572,3675,334,7586,792
2211,12173,3793,793,25,55,850,2079,5397,4137,980,230,3189,5298,1689,193,3283,309
2212,10800,4794,609,68,41,652,1947,4872,4097,1208,164,2634,5327,1905,174,2815,317
2213,16562,5282,526,103,45,928,1865,6686,6196,1713,257,3981,7501,2159,232,3787,327
2214,3725,203,12,0,10,17,50,1243,1068,282,44,704,1226,312,36,447,30
2216,10723,1787,13597,259,161,2403,15049,6435,2346,669,241,7095,7437,2880,549,7969,2088
2217,11053,2839,12820,148,168,2402,14171,7335,2645,954,175,7040,8685,2810,531,7816,1406
2218,6766,889,7729,150,68,614,7691,4691,1390,511,130,3762,5062,1783,282,3727,774
2219,7255,3085,2628,61,47,631,4966,4921,2023,695,142,3352,3881,1512,141,4440,300
2220,12596,2708,17095,53,109,2912,13366,7868,3039,1717,606,8330,9498,3343,843,5662,2423
2221,13079,1776,1349,23,13,356,2199,4244,3306,1631,369,2749,5362,1395,159,2409,212
2222,5834,1524,4597,10,69,642,5554,3361,1397,586,119,2858,3863,1331,244,3224,429
2223,13198,2700,4453,102,29,654,6477,5737,3812,1460,272,4714,6704,1876,214,4683,490
2224,10188,2516,1060,53,49,461,2027,4870,3128,1087,226,3203,4295,1345,77,2906,196
2225,4517,829,65,0,0,19,261,1292,1590,532,83,910,2059,302,25,478,25
2226,9625,1805,1024,30,30,591,2184,3578,2953,859,97,2613,4235,1036,95,2224,172
2227,10614,2263,1875,51,21,395,3345,4795,3170,979,155,3318,4943,1412,142,2909,258
2228,11060,2849,5720,93,128,1960,7349,6072,3194,1033,189,5234,6038,2165,239,5945,608
2229,19080,5883,4675,10,165,1834,7290,9923,6182,2008,398,7254,9438,2759,215,7707,633
2230,14659,2150,11954,166,75,4332,13053,8435,4635,1718,288,10054,7893,2704,261,10674,1317
2231,2342,58,15,20,8,59,181,656,496,138,51,360,711,212,15,270,30
2232,20664,3724,9195,32,49,2466,12897,10108,5938,1634,248,8769,10474,3512,275,9655,990
2233,25321,1710,1898,81,32,632,3203,8453,7214,1934,384,5918,9396,2300,144,4056,259
